,rating,reviewText,summary
26,5,"Brody Nash has the perfect idea for the one year anniversary of his relationship with his girlfriend Sidney - a m&eacute;nage with his best friend Drew.  Brody loves Sidney and sharing her with anyone would never have even come up if he hadn't noticed that some of her preferred reads involve m&eacute;nage relationships.Drew Buchanan isn't the settling down kind of guy and he never stays with any one woman for very long.  He leads more of a nomadic lifestyle and often sails off on his yacht aptly named `Sunset.'  He's a brilliant desert chef and creates his delectable treats for Brody's restaurant, The Blue Fish Grill, whenever he's in Graceville but he's finding it harder and harder to stay in town especially since he's in love with Sidney.Sidney McCall has always lived a nomadic lifestyle.  Her mother never stayed in one place very long and she simply continued the lifestyle she already knew - until she met Brody.  They quickly moved from the initial meeting to living together and even a year after the fact, Sidney still feels like it's all a dream.In celebration of their first anniversary together Sidney plans to surprise Brody with a delicious meal along with a sexy outfit when he returns home from the restaurant - and succeeds.  Brady had intended to tell Sidney that he'd invited Drew over and about his surprise but one look at her in her sexy dress and all his brain cells headed south.  Dinner's put on hold while they satisfy other hungers - until they hear the knock at the door and then Brody remembers that he still has to tell her about his `gift.'  Sidney can't deny an attraction to Drew and even though she isn't entirely comfortable with the idea of sex with two men at the same time it is a fantasy of hers and if it's alright with the men then who is she to argue.  Things turn decidedly odd afterwards and Sidney's not sure what to think about Drew's cold disinterested attitude and to make things even more complicated Brody notices her preoccupation and assumes that it's more than just friendly concern.Sami Lee delves into what could happen when the thing you fantasize about turns out to be the exact opposite of what you truly desire.  Sidney and Brody are deeply in love with each other but neither of them are truly certain of the others feelings.  I found the dynamics between these three characters to be oddly fascinating but at the same time understand why Drew's held himself apart from Brady and Sidney.  I'd love to know what happened with Drew after this story ends.  He's a special guy who deserves a little happiness in his life and a special woman.Chrissy Dionne (courtesy of Romance Junkies)",4.5 blue ribbons from Romance Junkies
27,3,"Aside from the clich&eacute;d marathon sex in this book I was left pretty confused by the ending as to what exactly I had just read. Did she dream it? Does he recognized her? I'm not really complaining because it's free and I did enjoy reading it for the most part, but there was nothing very special about it and the ""twist"" if that's what you call it at the end really just left me scratching my head. A bit of fluff with not a lot of substance, this book is fine if you are just browsing for something free to read because there's really nothing more than that to it.",Hot and Confused?
28,5,"This is my first Lori Foster book(s) - great story about 4 brothers - haven't finished reading about Jordan yet but decided to give a review.  Romantic, good story and great characters with lots of humour.  Think my Kindle will be checking out some more of Lori's books.",Love these guys ...
29,5,"I have read tons of books, and this is one of the best books I've ever read! Imagine the concept of a hitch-hiking serial killer being picked up by a serial killer! It's hilarious! I've read all the versions and prequels and sequels that Kilborn and Crouch wrote about these characters, and let me tell you they are all great! They have some really twisted minds, and I love that. Kinda reminds me of myself lol. Keep it up you two, because I want to read more of your stuff! And don't ever hitchhike!!!",The greatest story ever!
30,5,"Hawke is an interesting, unusual hero. The author writes extremely well! He holds your interest to the very end. This is a fun read.",Good Western
31,1,The premise of this book was totally disgusting and I'm sorry I readit. I deleted it. Don't bother if you value your sanity.,Disgusting premise
32,5,"WOW! This is a major league book of hotness!  I love reading about the bisexual men as much as the menage, etc.  Two men who can pleasure each other AND admit a female??  I'm so there!  At $2,  it was a great way to introduce this author to me.  DEFINATELY purchasing more by Ms. McKenna.  Brava!",Hotter than HOT!
33,1,"Can you review a novel that you didn't finish? If so, I found the writing extremely &#34;wooden&#34;. Sort of what you might expect from a freshm,an in a school of journalism.I didn't feel that it would get any better after the first two or three capters, so I stopped reading.",Coachella Valley Traffic Jam
34,4,"Apparently this is a prequel to the series.  I have read nothing of the series but bought the ""Lords of the Underworld"" bundle that has this book and the first three books.  I read a reviewer's note that said if you get the sample of this bundle that you will get the entire short story/prequel in that sample (word to the wise).  Of course that would only be helpful for people who have read the rest of the series and didn't want to buy the prequel.  For me, I just decided to delve into this series so I didn't mind getting it in the bundle.It has some pretty low reviews.  Normally I would never buy and probably wouldn't read a book or novella that has 3 stars.  I am pretty surprised it has such low reviews, but perhaps people were hoping for more from this prequel.This story is about the guardian to the gates of Hell (Geryon) and the goddess of oppression, Kadence who is in charging of maintaining the wall between the human realm and Hell.  The wall has a crack in it and Kadence bargains with Lucifer to allow Geryon to help her repair it.  Only the very end does it bring up Pandora's box (from what I can gather, the point of the story was to give us the background on Pandora's box, but I am not sure if Geryon or Kadence play any role in the rest of the books).I plan to read the next book, The Darkest Night next.  Here I go...",good enough for me...
35,5,"I have been really enjoying the Kindle on the I-pod this is one of my first downloads and what a great story could not stop reading and what a great price, It is one of those stories that stick with you for days",Great short story
36,5,"A DANCE IN THE DARK by Karen Ranney is a romantic novella set in Regency England.It is written with depth and details.The characters are warm,charming and enchanting.It has love,romance,being different,despair,loneliness,pain,and an ugly duckling meets the beast.Louisa, a heiress who is considered ugly but has a heart of gold,craves to be loved by someone not just for her money but for her intelligence,quick mind and wit.Douglas, a recluse with a dark secret (he is a vampire),and craves to be able to be with people without fear of hurting or killing them. This is a wonderful,sweet story of fairy tales can come true and have a happy ever after ending.This is a quick read and will leave you in wonder of the true power of love.I would highly recommend this book especially if you enjoy true love,happiness,and finding your soul mate.This book was received for the purpose of review from the author and details can be found at KRKS Books and My Book Addiction and More.",A SWEET STORY OF THE UGLY DUCKLING MEETS THE BEAST! A QUICK READ! A DANCE IN THE DARK BY KAREN RANNEY
37,2,"Perhaps this book was meant to be a trite sarcastic waste of time umm Yeah.  If that was its goal, I guess I need to rethink my rating.  But Umm actually the book got two stars as the trite sarcastic writing style did make me laugh.  A list of 125 traveling tips not all regarding traveling with a vampire and many just plain simple. I am sorry this was the first taste I have had of this author, but VERY glad this was a freebie.",I'm Never Traveling with this Book
38,5,Amazing!!! This book kept you wanting more! I didn't want to put it down!!! I WILL read all Jim Richard novels I come across.,Classmate Murders
39,5,"Love this case!  It protects the Kindle and opens on only 2 sides, so you're less likely to drop it when opening and closing it.  Also looks very ""professional"" in your briefcase.",Great case!
40,5,"You Can Leave Your Hat On is what the title promised, a naughty little novella on a stripper and his lover. The starting point of the story is one I already see in the past, a young and handsome College TA, Harlan, who has the hots for his even more handsome, a slightly older, College professor, Sawyer. The book respects the rules of a May / December romance plus the College setting with an Office Affairs theme... the shorten the thing, this is the classical romance by the rule, with the twist of being a gay romance. So I would say that it can appeal both to the old fan of the gay romance than to a newbie who wants to try her hand on the genre.Being Sawyer older and also Harlan's superior, he has all the trouble of the case: he can't take advantage of his position, he doesn't want to be involved with a younger man who can have everyone he wants, and plus there is also a little problem of appropriateness... Harlan to make the ends meet has a side job as a stripper in the local gay club, and Sawyer saw him at his workplace. So the point if Sawyer is gay is no more a question, but now there is the biggest problem that, even if Sawyer manages to move on the fact to have a relationship with a student, the fact that said student is a stripper is a big NO for the career of a college professor.And so Sawyer didn't make a move on Harlan, stopped to go to that club, and forced himself to have a strictly professional relationship with the boy. Only that Harlan is not of the same idea, and as soon as he reaches his graduation day, he is also ready, willing and naked for the professor to take. Harlan has all the cockiness of his young age, he is really convinced that Sawyer is avoiding him only since they have a professional relationship to preserve, and he thinks that, as soon as that problem is over, Sawyer will be all his to take. In a way I like how daring and careless Harlan is, but this only proves that he is really young.Being Harlan one of his students, it's not the only problem for Sawyer; there is also the question of his side job, as a stripper, that is not exactly a good visiting card to prove his willingness to commit and being exclusive; and then even if Harlan wants a real relationship, it's not said that Sawyer wants the same thing: he is arrived at an age where or you start to think seriously to commit, or you run at the minimum hint that there is a chance to be shackled... There is quite a controversy inside Sawyer, he is jealous of Harlan, mainly due to his job, but he is also skittish when it's time to commit and give something real to Harlan. Where Harlan is open and maybe careless, at least he has his mind clear and he knows what he wants... for all the years Sawyer has more than Harlan, he has not yet reached that level of maturity.Anyway this is a novella, mostly and erotic novella, with a lot of sex scenes, hot and nice, and all in all it spans only two days in the life of our characters, so there is not enough time to develop a lot, but I have the idea that the author has something more in mind, since she introduced some supporting characters (Harlan's brother, Rhys, and Sawyer's friend, Macon) that have too much deepness to be only a passing spectator.",You Can Leave Your Hat On by Lena Matthews
41,2,Not exactly what I remember the stories to be but this might be a different version then the one I was read.,Grimm's Fairy Stories
42,5,"A snow storm brought them together, but God's love and their love for one another will keep them together when deep hurts, fears, on and sins from the past threaten to tear them apart. I really enjoyed this story of forgiveness and new beginnings.",Three Wounded Heart's Find Healing
43,1,It's like these 2 chapters were edited out of a book for being boring and not worth reading.  The author disagreeing made it into it's own book.  I'd leave these 2 chapters out myself.  It's a waste of time to even download for free.  We should be paid to read it.,Really a boring story about nothing....
44,2,"Identical twin sisters Gwendolyn and Anora are complete opposites, but fierce friends nonetheless. Gwendolyn is the tomboy of the duo - even going so far as to cut her hair short and wear men's clothing, while Anora exudes a very feminine nature. As the eldest by minutes, Anora has been placed in an arranged marriage, but thankfully, it turned out to be a love match anyways. The night before her wedding, the two sneak out unchaperoned for one last sisterly moment of bonding, when the unthinkable happens and they are kidnapped by two wandering Vikings. They believe Gwendolyn to be male (in men's clothing and short hair) and take the duo back to their ship in repair, even though it is expressly forbidden by the captain, Hakon. From here on out, the story is about Hakon and his interaction with the 'brother' Garric and sister Anora. Gwendolyn continues her identity as Garric in hopes to keep Anora's virtue intact for her betrothed.Well, the one thing that attracted me to the story was the outline. As most of these stories go, I thought I could have predicted what happened, but unfortunately, I think my assumption was probably a better story than this. I found the story to be trite, shallow, messy, and incredibly misogynistic. I know well that most romance stories have a bit of misogyny in them, but this one was pretty thick with it.Let me start with the storytelling. It's messy in that it is constantly vacillating point of views. One paragraph is through Gwendolyn's eyes, the next is Hakon, and then the next one is some chambermaid in the same room giving her $0.02. So it goes on. It took me many chapters to get used to it. And yes, I did read the whole thing (mainly in hopes to see a redeeming quality in the couple).And the descriptions, whoa. Adverbs stacked on adjectives stacked on adverbs. I like description, but most of it felt forced or trite, as if there was a book of synonyms on the ready for *every* sentence.Also, the beginning of the story held a lot of completely unnecessary crap. If the story is not going to be about Wulfgar and Anora, maybe one should stop writing such intricate details about their history and the political notions of it all. When it doesn't last past the first few chapters, never to be touched upon again, I feel like my time is wasted with pointless words completely lacking in entertainment or reason.The twins' ruse was poorly written. I believe another reviewer noticed the same. How can the both be so incredibly fair and beautiful and gorgeous and gifts of the gods when one can be so easily mistaken for a young boy? I absolutely hated Hakon as a character, but it was laughable to read the spew of compliments he would bestow upon Anora, then hate so easily on Garric without any inkling of her identity, then praise Gwendolyn (as Anora) exactly the same - never the wiser! Yet every chapter some background character made a comment on how absolutely magnificent and awe-inspiring was the beauty of either...but only if they were in a dress. /eyeroll/ Put some pants on a girl and she's too mannish to believed to be a girl. Riiiiight.Now to the 'romance' of Gwendolyn and Hakon. Not once did I feel any genuine love between the two. For chapters, Hakon praises his affections and lust for Anora, from the very beginning. When they are first discovered on the ship, the reader anticipates a kind captain with morals, but instead the reader gets an arrogant warrior who's okay with raping and taking some hostages as slaves. While I get his reasons for not turning around and dropping the twins back off at England, did he really have to enforce slavery? Not only slavery, but insist on getting Anora to bed him as some kind of sex slave (incredibly confidently, I might add). I get that this was probably exactly the kind of man one would expect in this era, but it's not very attractive to read about in a romance novel. So not only is he constantly forcing his affections on an incredibly frightened Anora and just scaring the bejeezus out of her with his talks of forcing himself upon her, but he doesn't even get a whiff of difference when Anora and Gwendolyn change places. Absolutely nothing is amiss to him. The first night Hakon and Gwendolyn (as Anora) are together...it's just very...rape-y. He does force himself...but it's some kind of weird thing that Gwendolyn (all this time has completely hated and disgusted by this guy) just turns over like a cat in heat all of a sudden. I think, as a reader, one is supposed to just accept that her body knows what's best for her heart...or something like that? Even through the realization of love and all that, Hakon never knows who's who. I mean, I would think true love should at least be able to see a person past their indescribably beautiful body to fall in love with someone and then fall in love with an identical someone without realizing the difference. It just leaves the romance's credibility in the negative.This also applies to Gwendolyn. The reader does not come across her transition into loving him. She's wishy washy and just moody. She hates him because he took her and her sister as slaves away from her homeland! She loves him because he's great in the sack! She hates him because he's so mean to her when she's Garric. She loves him because just look at that hot, Viking body! Once she starts pretending to be Anora, all plans to escape home are just gone. Months are supposed to go by, and Anora is just sitting on her thumbs trusting her sister. I just don't get it. I don't get any precourse to love beyond lust or obligation/duty/honor above whatever it is that feels good.I mentioned the first scene of intimacy between Hakon and Gwendolyn are...rape-y. Well, the acceptance of rape was one of the biggest themes that disturbed me. It wasn't outright acceptance, per se, but it was darn close. The constant attempts to rape the twins were disheartening, but then to have the 'hero' consider it so much...yeah, not cool. One line from a background character left me doing double takes:""Whatever happened to the days when a Viking chieftain took a wench if he wanted her, and that was that! She closed her heavy-lidded eyes, a secret smile on her face, as she remembered her youth.""This particular quote in context implies that Hakon should just go ahead and rape Anora, because he's so good looking and rich and a spectacular lover, the rape will be null and void because the wench in question will love it.Yeah...this is just a horrible impression for a romance novel...and towards the 'good guy' especially.Again, I believe another reviewer also noticed the abundance of Gwendolyn's stupidity. Keep getting in trouble by walking around alone? Just keep doing it! Yeah! Not only is it a poor setup for danger, but it's also poor characterization. Need the heroine to come across the bad guy? Just write in there that she's walking around for funsies. Maybe she can not learn her lesson and do it again later...a few more times, at that.There was one line in an (albeit decent) scene of war: ""Acting on finely honed instincts..."" referring to Gwendolyn in fight. I literally laughed out loud. ""Finely honed"" indeed.A great line that's later in the book, after already been in danger numerous times:""Perhaps a walk would take her mind off the memories that continually plagued her. Aye, that was what she would do!""Such excitement for a walk!!! She must know that danger and excitement are ahead whenever she goes out alone! Good one, Gwennie!So why two stars instead of one? I read the whole thing and still hoped for a romantic redemption. I really wanted Hakon to be a decent guy. I really wanted true love to peek it's cute little head and yell, ""Surprise! I really AM here!"" If the story was just an outline, I would have enjoyed it better, because I really do like the premise. If only I had a trophy in poor execution...Lacking characters, lacking writing, overwrought descriptions, glorifying rape, zero hero/heroine presence...and thusly.Thank Odin it was free.",Shallow characters and shallow themes...
